r_fighter,b_fighter,height_diff,reach_diff,age_diff,strike_eff_diff,grapple_eff_diff,performance_diff,win_ratio_diff,r_fighter_win
Dennis Buzukja,Jamall Emmers,-2.5400000000000205,-10.159999999999997,-8.0,-2.9399999999999995,-0.135,-0.3265369692324732,-0.07407407407407407,0
Jailton Almeida,Derrick Lewis,0.0,0.0,-6.0,2.3099999999999996,0.255,0.15407663290631424,0.21678321678321677,1
Gabriel Bonfim,Nicolas Dalby,5.079999999999984,-5.0800000000000125,-13.0,-0.98,0.405,0.28638391897515436,0.1160714285714286,0
Rodrigo Nascimento,Don'Tale Mayes,-10.159999999999997,-2.5400000000000205,0.0,-0.2100000000000004,0.03500000000000003,0.09238402675280888,0.29166666666666663,1
Caio Borralho,Abus Magomedov,-10.159999999999997,-7.6200000000000045,-3.0,2.3800000000000003,-0.15000000000000002,-0.1650760940180409,0.15625,1
Elves Brener,Kaynan Kruschewsky,-5.079999999999984,-2.539999999999992,-6.0,-0.7000000000000002,0.025000000000000022,-0.02015348136793793,-0.04024767801857587,1
Vitor Petrino,Modestas Bukauskas,-2.539999999999992,-2.539999999999992,-3.0,1.0100000000000002,0.33499999999999996,0.08715402025621144,0.2857142857142857,1
Angela Hill,Denise Gomes,2.5400000000000205,2.539999999999992,15.0,-0.6499999999999995,0.14500000000000002,0.17153793923136573,-0.17554858934169282,1
Eduarda Moura,Montserrat Conejo Ruiz,15.23999999999998,12.699999999999989,-1.0,9.33,-0.07999999999999996,0.6902267731669565,0.2857142857142857,1
Kaue Fernandes,Marc Diakiese,-2.5400000000000205,0.0,-2.0,0.7600000000000001,0.265,0.002693145041778977,0.09166666666666667,0
Islam Makhachev,Alexander Volkanovski,10.160000000000025,-2.539999999999992,-3.0,-1.5800000000000005,0.21500000000000008,-0.36407383068729215,0.06498673740053051,1
Kamaru Usman,Khamzat Chimaev,-5.0800000000000125,2.539999999999992,7.0,-0.6399999999999997,-0.05999999999999994,-0.15538348786453526,-0.16666666666666663,0
Ikram Aliskerov,Warlley Alves,2.539999999999992,10.159999999999997,-2.0,2.05,-0.485,0.3781497091500232,0.25568181818181823,1
Said Nurmagomedov,Muin Gafurov,2.539999999999992,5.0800000000000125,4.0,1.3900000000000001,-0.02999999999999997,0.08515337359028319,0.1071428571428571,1
Tim Elliott,Muhammad Mokaev,0.0,-10.160000000000025,13.0,0.81,0.265,0.3998442553013133,-0.4117647058823529,0
Mohammad Yahya,Trevor Peek,0.0,7.619999999999976,1.0,-1.92,0.20499999999999996,-0.2122289287200505,-0.15000000000000002,0
Abu Azaitar,Sedriques Dumas,-12.700000000000017,-7.6200000000000045,9.0,0.1899999999999995,-0.05499999999999999,0.2706902350451019,-0.16315789473684217,0
Mike Breeden,Anshul Jubli,-5.079999999999984,2.5400000000000205,6.0,-2.4000000000000004,0.07999999999999996,-0.08484554863316962,-0.2279411764705882,1
Nathaniel Wood,Muhammad Naimov,-7.6200000000000045,-2.5400000000000205,1.0,2.9800000000000004,0.16499999999999998,0.42361327880582356,-0.0641025641025641,0
Viktoriia Dudakova,Jinh Yu Frey,5.079999999999984,5.0800000000000125,-14.0,1.9500000000000002,-0.17500000000000004,-0.05507706401693302,0.47619047619047616,1
Shara Magomedov,Bruno Silva,25.400000000000006,20.319999999999993,-4.0,3.24,-0.185,0.3843809012008229,0.35,1
Shara Magomedov,Bruno Silva,5.0800000000000125,-2.5400000000000205,-5.0,4.1000000000000005,-0.21500000000000002,0.2505358914559266,0.303030303030303,1
Sodiq Yusuff,Edson Barboza,-5.0800000000000125,-10.159999999999997,-7.0,1.5499999999999998,-0.21499999999999997,0.09453718478778295,0.12678571428571428,0
Jennifer Maia,Viviane Araujo,0.0,-10.159999999999997,-2.0,0.6800000000000006,-0.19,-0.07476923905981958,-0.049632352941176516,0
Jonathan Martinez,Adrian Yanez,2.539999999999992,0.0,-1.0,0.45999999999999996,0.04999999999999993,-0.16284490196724144,0.06418219461697727,1
Andre Petroski,Michel Pereira,-2.539999999999992,0.0,2.0,-0.7699999999999996,-0.12,-0.2511526191467003,0.044230769230769296,0
Christian Rodriguez,Cameron Saaiman,-2.539999999999992,10.159999999999997,3.0,-0.9900000000000002,0.21999999999999997,-0.12084468641193213,0.009090909090909038,1
Darren Elkins,TJ Brown,2.5400000000000205,-2.539999999999992,6.0,-0.31000000000000005,-0.009999999999999953,0.013615326581262743,0.11080586080586086,1
Tainara Lisboa,Ravena Oliveira,5.0800000000000125,5.0800000000000125,6.0,0.8499999999999999,-0.08999999999999997,0.11122989871894284,0.07777777777777783,1
Terrance McKinney,Brendon Marotte,2.5400000000000205,7.619999999999976,2.0,40.95,0.605,0.4546910972663396,-0.08571428571428574,1
Irina Alekseeva,Melissa Dixon,2.539999999999992,-2.539999999999992,1.0,0.020000000000000018,0.22499999999999998,0.11453815478667506,-0.2857142857142857,0
Chris Gutierrez,Alatengheili,10.159999999999997,2.5400000000000205,1.0,4.460000000000001,-0.020000000000000018,0.2788443630789683,0.14814814814814814,1
Ashley Yoder,Emily Ducote,12.700000000000017,15.23999999999998,7.0,0.34000000000000075,-0.065,-0.4849970900033229,-0.14845938375350143,0
Grant Dawson,Bobby Green,0.0,2.539999999999992,-8.0,-1.6999999999999993,-0.17499999999999993,-0.511151218037189,0.209990749306198,0
Joe Pyfer,Abdul Razak Alhassan,10.159999999999997,5.0800000000000125,-11.0,1.9200000000000004,0.22500000000000003,0.123230545384871,0.19047619047619047,1
Alex Morono,Joaquin Buckley,2.539999999999992,-10.159999999999997,4.0,0.2899999999999996,-0.14500000000000002,0.0865375081207469,-0.020380434782608647,0
Drew Dober,Ricky Glenn,-10.159999999999997,0.0,1.0,0.2799999999999998,-0.03999999999999998,0.06276870017154612,0.004807692307692291,1
Alexander Hernandez,Bill Algeo,-7.6200000000000045,-2.539999999999992,-3.0,-1.9700000000000006,-0.05500000000000005,-0.17715261914670022,-0.053333333333333344,0
Karolina Kowalkiewicz,Diana Belbita,-10.159999999999997,-10.159999999999997,11.0,0.20999999999999996,-0.15500000000000003,-0.1204609829920873,0.04347826086956519,1
Nate Maness,Mateus Mendonca,10.160000000000025,2.539999999999992,8.0,2.29,0.495,0.2806151110259534,0.0,1
Vanessa Demopoulos,Kanako Murata,2.539999999999992,-7.619999999999976,5.0,-1.3699999999999997,-0.5650000000000001,-0.09723183871672725,-0.13333333333333341,1
Aoriqileng,Johnny Munoz,-5.079999999999984,-5.0800000000000125,0.0,-0.029999999999999805,0.17000000000000004,0.406228389831777,-0.0357142857142857,1
Montana De La Rosa,JJ Aldrich,5.0800000000000125,2.539999999999992,-3.0,-0.02999999999999936,0.019999999999999962,-0.20615272692435493,-0.13875598086124408,0
Rafael Fiziev,Mateusz Gamrot,-5.0800000000000125,2.539999999999992,-2.0,0.13000000000000034,0.04500000000000004,0.22253686145481866,-0.12,0
Bryce Mitchell,Dan Ige,7.6200000000000045,-2.539999999999992,-3.0,0.47,-0.04999999999999999,-0.19176805350561776,0.18055555555555547,1
Marina Rodriguez,Michelle Waterson-Gomez,7.619999999999976,7.6200000000000045,-1.0,2.51,0.030000000000000027,0.18192207376182934,0.17272727272727273,1
Bryan Battle,AJ Fletcher,7.619999999999976,25.400000000000006,3.0,2.04,0.010000000000000009,0.1347682690609271,0.07692307692307687,1
Ricardo Ramos,Charles Jourdain,0.0,7.6200000000000045,0.0,-2.07,0.34,-0.17469023504510206,0.0800865800865801,0
Tim Means,Andre Fialho,5.0800000000000125,2.539999999999992,10.0,4.41,-0.29500000000000004,0.14853696923247328,0.006802721088435382,1
Jacob Malkoun,Cody Brundage,-7.6200000000000045,2.539999999999992,-1.0,2.1099999999999994,-0.405,0.11622903649770522,0.033333333333333326,0
Mohammed Usman,Jake Collier,-2.539999999999992,2.539999999999992,-1.0,-1.7599999999999998,-0.41000000000000003,-0.5124591507719575,0.28093645484949836,1
Mizuki,Hannah Goldy,-2.539999999999992,10.159999999999997,-2.0,-1.580000000000001,0.16499999999999998,-0.017537939231365596,0.11428571428571432,1
Tamires Vidal,Montserrat Rendon,-5.0800000000000125,0.0,-9.0,-0.8799999999999999,-0.6000000000000001,-0.24107663290631443,-0.2222222222222222,0
